Address,Brownfield,Carcinogenic,"Chemical Name"
"2013 MCCARTER HWY",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"201 HWY 34 BLDG C-2",N/A,Yes,LEAD
"201 POLITO AVE",N/A,Yes,"TOLUENE DIISOCYANATE (MIXED ISOMERS)"
"201 ROOSEVELT PL.",N/A,Yes,FORMALDEHYDE
"205 MAIN ST.",N/A,Yes,DICHLOROMETHANE
"205 MAYWOOD AVE",N/A,Yes,LEAD
"20 CAMPUS RD",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"20 DEFOREST AVE.",N/A,Yes,"TOLUENE DIISOCYANATE (MIXED ISOMERS)"
"20 NEW DUTCH LN",N/A,Yes,LEAD
"210 CLIFTON BLVD",N/A,Yes,"1,4-DICHLOROBENZENE"
"211 RANDOLPH AVE",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"211 RANDOLPH AVE",N/A,Yes,DICHLOROMETHANE
"211 RANDOLPH AVE",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"21-29 INDUSTRIAL PARK",N/A,Yes,"1,4-DICHLOROBENZENE"
"2150 STANLEY TERRACE",N/A,Yes,LEAD
"216 MIDLAND AVE.",N/A,Yes,TETRACHLOROETHYLENE
"217 S FIRST ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"217 S FIRST ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"21 CAMPUS RD.",N/A,Yes,CHROMIUM
"21 CAMPUS RD.",N/A,Yes,NICKEL
"21 HARRISON AVE",N/A,Yes,LEAD
"225 THROCKMORTON ST",N/A,Yes,LEAD
"22 DANIEL RD E",N/A,Yes,DICHLOROMETHANE
"233 CLIFTON BLVD",N/A,Yes,"1,4-DICHLOROBENZENE"
"235 MURRAY HILL PKY.",N/A,Yes,FORMALDEHYDE
"235 MURRAY HILL PKY.",N/A,Yes,LEAD
"235 MURRAY HILL PKY.",N/A,Yes,"VINYL ACETATE"
"238 W FORT LEE RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"240 MULBERRY ST.",N/A,Yes,LEAD
"24 1/2 VAN HOUTEN ST.",N/A,Yes,"3,3'-DICHLOROBENZIDINE DIHYDROCHLORIDE"
"244 HAZEL ST.",N/A,Yes,FORMALDEHYDE
"24 AMES BLVD",N/A,Yes,TRICHLOROETHYLENE
"24 PARK AVE.",N/A,Yes,CHROMIUM
"24 PARK AVE.",N/A,Yes,NICKEL
"2500 BRUNSWICK AVE",N/A,Yes,"ETHYLENE OXIDE"
"2500 BRUNSWICK AVE",N/A,Yes,"PROPYLENE OXIDE"
"2530 POLK ST",N/A,Yes,CHROMIUM
"2600 MARSHES DOCK RD",N/A,Yes,BENZENE
"2600 MARSHES DOCK RD",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"2600 MARSHES DOCK RD",N/A,Yes,LEAD
"2600 MARSHES DOCK RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"268 DOREMUS AVE",N/A,Yes,"DIETHYL SULFATE"
"26 HANES DR",N/A,Yes,TRICHLOROETHYLENE
"2-6 LISTER AVE.",N/A,Yes,"COBALT COMPOUNDS"
"26 PIERCY ST",N/A,Yes,"3,3'-DICHLOROBENZIDINE DIHYDROCHLORIDE"
"270 CLIFTON BLVD",N/A,Yes,FORMALDEHYDE
"270 PASSAIC AVE.",N/A,Yes,DICHLOROMETHANE
"271 MAYHILL ST",N/A,Yes,LEAD
"271 MAYHILL ST",N/A,Yes,NICKEL
"27 E. 33RD ST.",N/A,Yes,TETRACHLOROETHYLENE
"27 E. 33 ST.",N/A,Yes,"1,4-DICHLOROBENZENE"
"27 KENTUCKY AVE.",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"280 CHESTNUT ST.",N/A,Yes,TETRACHLOROETHYLENE
"280 MIDLAND AVE",N/A,Yes,LEAD
"280 MIDLAND AVE.",N/A,Yes,NICKEL
"28-36 PATERSON ST",N/A,Yes,"DIAMINOTOLUENE (MIXED ISOMERS)"
"28-36 PATERSON ST",N/A,Yes,O-ANISIDINE
"290 RIVER DR.",N/A,Yes,FORMALDEHYDE
"29 HANOVER RD",N/A,Yes,DICHLOROMETHANE
"2 ACKERMAN RD",N/A,Yes,STYRENE
"2 CARLTON AVENUE",N/A,Yes,DICHLOROMETHANE
"2 CUTTERS DOCK RD",N/A,Yes,STYRENE
"2 PLEASANT VIEW AVE",N/A,Yes,"ETHYLENE OXIDE"
"2 PLEASANT VIEW AVE",N/A,Yes,"PROPYLENE OXIDE"
"2 PORETE AVE",N/A,Yes,LEAD
"300 MARKLEY ST",N/A,Yes,LEAD
"300 MARKLEY ST",N/A,Yes,NICKEL
"306 COLUMBIA TURNPIKE",N/A,Yes,CHROMIUM
"306 COLUMBIA TURNPIKE",N/A,Yes,COBALT
"306 COLUMBIA TURNPIKE",N/A,Yes,NICKEL
"306 SUSSEX ST.",N/A,Yes,COBALT
"306 SUSSEX ST.",N/A,Yes,DICHLOROMETHANE
"308 MIDDLESEX ST",N/A,Yes,CHROMIUM
"308 MIDDLESEX ST",N/A,Yes,NICKEL
"30 SHERWOOD LN.",N/A,Yes,TRICHLOROETHYLENE
"325 CORPORATE DR",N/A,Yes,CHROMIUM
"325 CORPORATE DR",N/A,Yes,COBALT
"330 CENTRAL AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"335 MCLEAN BLVD.",N/A,Yes,"COBALT COMPOUNDS"
"335 MCLEAN BLVD.",N/A,Yes,O-TOLUIDINE
"33 6TH AVE",N/A,Yes,"3,3'-DICHLOROBENZIDINE DIHYDROCHLORIDE"
"3401-B TREMLEY POINT RD.",N/A,Yes,LEAD
"340 KINGSLAND ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"340 KINGSLAND ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"3459 S CLINTON AVE",N/A,Yes,"ETHYLENE OXIDE"
"3474 RAND AVE.",N/A,Yes,DICHLOROMETHANE
"350 ALLWOOD RD.",N/A,Yes,NICKEL
"350 ROOSEVELT AVE",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"350 ROOSEVELT AVE",N/A,Yes,STYRENE
"354 DOREMUS AVE.",N/A,Yes,"VINYL ACETATE"
"357 HAMBURG TURNPIKE",N/A,Yes,"1,4-DICHLOROBENZENE"
"359 VETERANS BLVD",N/A,Yes,CHROMIUM
"359 VETERANS BLVD",N/A,Yes,COBALT
"35 CUTTERS DOCK RD.",N/A,Yes,ACRYLONITRILE
"35 DALE AVE.",N/A,Yes,LEAD
"35 INDUSTRIAL RD",N/A,Yes,CHROMIUM
"35 INDUSTRIAL RD",N/A,Yes,NICKEL
"35 MEADOWLAND PKY.",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"360 MURRAY HILL PKY.",N/A,Yes,LEAD
"363 PARK AVE.",N/A,Yes,TRICHLOROETHYLENE
"363 S JEFFERSON ST",N/A,Yes,DICHLOROMETHANE
"36 NEWBURGH RD",N/A,Yes,LEAD
"36 PINE ST.",N/A,Yes,DICHLOROMETHANE
"3700 S WOOD AVE",N/A,Yes,BENZENE
"3700 S WOOD AVE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"3700 S WOOD AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"375 METUCHEN RD.",N/A,Yes,DICHLOROMETHANE
"387 FRANKLIN AVE",N/A,Yes,CHROMIUM
"387 FRANKLIN AVE",N/A,Yes,COBALT
"387 FRANKLIN AVE",N/A,Yes,NICKEL
"3900 S CLINTON AVE",N/A,Yes,FORMALDEHYDE
"3900 S CLINTON AVE",N/A,Yes,HYDRAZINE
"390 CENTRAL AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"400 KULLER RD.",N/A,Yes,"1,4-DICHLOROBENZENE"
"400 N FRONTAGE RD",N/A,Yes,LEAD
"405 ESSEX RD",N/A,Yes,LEAD
"41 DICKERSON ST.",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"41 MONTGOMERY ST.",N/A,Yes,DICHLOROMETHANE
"420 HOOK RD",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"420 HOOK RD",N/A,Yes,LEAD
"420 HOOK RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"42 INTERVALE RD.",N/A,Yes,CHROMIUM
"42 INTERVALE RD.",N/A,Yes,NICKEL
"4315 NEW BRUNSWICK AVE.",N/A,Yes,DICHLOROMETHANE
"4501 TREMLEY POINT RD.",N/A,Yes,BENZENE
"450 CLARK DR",N/A,Yes,LEAD
"4801 S WOOD AVE",N/A,Yes,BENZENE
"4801 S WOOD AVE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"4801 S WOOD AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"48 LEFFERT STREET",N/A,Yes,"3,3'-DICHLOROBENZIDINE DIHYDROCHLORIDE"
"49 CENTRAL AVE",N/A,Yes,DICHLOROMETHANE
"49 CENTRAL AVE",N/A,Yes,TETRACHLOROETHYLENE
"49 RUTHERFORD ST",N/A,Yes,"TOLUENE DIISOCYANATE (MIXED ISOMERS)"
"500 DOREMUS AVE",N/A,Yes,EPICHLOROHYDRIN
"5029 INDUSTRIAL RD",N/A,Yes,LEAD
"502 YORK ST",N/A,Yes,DICHLOROMETHANE
"50 CALIFORNIA AVENUE",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"50 CENTRAL AVE.",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"515-519 DOWD AVE.",N/A,Yes,DICHLOROMETHANE
"52 AMSTERDAM ST",N/A,Yes,LEAD
"53-61 SECOND AVE",N/A,Yes,TRICHLOROETHYLENE
"556 MORRIS AVE.",N/A,Yes,DICHLOROMETHANE
"55 PASSAIC AVE",N/A,Yes,TETRACHLOROETHYLENE
"560 INDEPENDENCE ST",N/A,Yes,LEAD
"580 DIVISION ST.",N/A,Yes,FORMALDEHYDE
"58 LOCUST AVE.",N/A,Yes,TRICHLOROETHYLENE
"59 RT 17",N/A,Yes,CHROMIUM
"59 RT 17",N/A,Yes,COBALT
"59 SPRUCE ST",N/A,Yes,"1,4-DICHLOROBENZENE"
"5 ASTRO PL",N/A,Yes,LEAD
"5 BADER RD",N/A,Yes,"4,4'-METHYLENEBIS(2-CHLOROANILINE)"
"600 INDUSTRIAL RD",N/A,Yes,NICKEL
"600 MILIK ST",N/A,Yes,LEAD
"600 RT 440",N/A,Yes,LEAD
"600 RYERSON RD",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"601 WEST LINDEN AVE.",N/A,Yes,DICHLOROMETHANE
"610 RAHWAY AVE",N/A,Yes,CHROMIUM
"610 RAHWAY AVE",N/A,Yes,LEAD
"615 RIVER RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"624 SCHUYLER AVE",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"624 SCHUYLER AVE",N/A,Yes,"TOLUENE-2,4-DIISOCYANATE"
"624 SCHUYLER AVE",N/A,Yes,"TOLUENE DIISOCYANATE (MIXED ISOMERS)"
"641 DOWD AVE",N/A,Yes,TETRACHLOROETHYLENE
"641 DOWD AVE",N/A,Yes,TRICHLOROETHYLENE
"65 CHAMBERS ST.",N/A,Yes,TETRACHLOROETHYLENE
"65 EUCLID AVE",N/A,Yes,LEAD
"660 FRELINGHUYSEN AVE.",N/A,Yes,"1,2-DICHLOROETHANE"
"681 LAWLINS RD, SUITE 10",N/A,Yes,NICKEL
"699 RTE. 46 E.",N/A,Yes,LEAD
"6 EASTMANS RD.",N/A,Yes,COBALT
"6 EASTMANS RD.",N/A,Yes,NICKEL
"6 JEROME AVE.",N/A,Yes,LEAD
"700 BARTLEY-CHESTER RD",N/A,Yes,LEAD
"700 PARSIPPANY RD",N/A,Yes,CHROMIUM
"700 PARSIPPANY RD",N/A,Yes,COBALT
"700 PARSIPPANY RD",N/A,Yes,NICKEL
"70 PASSAIC ST",N/A,Yes,"N,N-DIMETHYLFORMAMIDE"
"70 PASSAIC ST",N/A,Yes,TRICHLOROETHYLENE
"70 WAIT ST.",N/A,Yes,DICHLOROMETHANE
"70 WAIT ST.",N/A,Yes,FORMALDEHYDE
"70 WAIT ST.",N/A,Yes,TETRACHLOROETHYLENE
"714-716 CLIFTON AVE.",N/A,Yes,LEAD
"726 ROCKEFELLER ST.",N/A,Yes,FORMALDEHYDE
"730 GRAND AVE",N/A,Yes,TETRACHLOROETHYLENE
"74 HUDSON AVE",N/A,Yes,"POLYCHLORINATED BIPHENYLS"
"750 UNION AVE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"750 UNION AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"751 CLIFF RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"760 ROOSEVELT AVE",N/A,Yes,BENZENE
"760 ROOSEVELT AVE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"760 ROOSEVELT AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"7700 RIVER RD.",N/A,Yes,NICKEL
"77 MOONACHIE AVE.",N/A,Yes,DICHLOROMETHANE
"792 21ST AVE.",N/A,Yes,"ETHYLENE OXIDE"
"792 21ST AVE.",N/A,Yes,"PROPYLENE OXIDE"
"7 GREAT MEADOW LN",N/A,Yes,DICHLOROMETHANE
"800 FORD RD.",N/A,Yes,THIOUREA
"800 JEFFERSON AVE.",N/A,Yes,CHROMIUM
"849 BROADWAY",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"849 BROADWAY",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"84 LOCKWOOD ST",N/A,Yes,LEAD
"84 WAYDELL ST.",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"85 5TH AVEUE BUILDING 5",N/A,Yes,ACETALDEHYDE
"85 HORSEHILL RD",N/A,Yes,LEAD
"89 YELLOWBROOK RD",N/A,Yes,LEAD
"8 FERNWOD RD",N/A,Yes,LEAD
"901 LEHIGH AVE",N/A,Yes,NICKEL
"909 DELANCY ST",N/A,Yes,BENZENE
"909 DELANCY ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"909 DELANCY ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"909 DELANCY ST",N/A,Yes,STYRENE
"90 COLES RD",N/A,Yes,LEAD
"90 MALTESE DR",N/A,Yes,"VINYL ACETATE"
"90 MYRTLE ST.",N/A,Yes,TRICHLOROETHYLENE
"91 WALSH DR.",N/A,Yes,CHROMIUM
"91 WALSH DR.",N/A,Yes,COBALT
"92 NEWARK POMPTON TURNPIKE",N/A,Yes,FORMALDEHYDE
"936 HARRISON AVE",N/A,Yes,LEAD
"936 HARRISON AVE",N/A,Yes,NICKEL
"950 RIVER DR.",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"950 RIVER DR.",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"952 PALMER AVE",N/A,Yes,CHROMIUM
"969 NEWARK TURNPIKE",N/A,Yes,NICKEL
"999 WILLOW GROVE ST",N/A,Yes,LEAD
"9 ROY ST",N/A,Yes,CHROMIUM
"9 ROY ST",N/A,Yes,COBALT
"9 ROY ST",N/A,Yes,NICKEL
"9 ROY ST.",N/A,Yes,CHROMIUM
"9 ROY ST.",N/A,Yes,COBALT
"9 ROY ST.",N/A,Yes,NICKEL
"ALPHANO RD.",N/A,Yes,"1,2-DICHLOROETHANE"
"ALPHANO RD.",N/A,Yes,BENZENE
"ATLANTIC AVE. & DELAWARE RIVER",N/A,Yes,CHROMIUM
"BERRY AVE. & RTE. 17 N.",N/A,Yes,FORMALDEHYDE
"BEVERLY RD",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"BEVERLY RD",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"BEVERLY RD",N/A,Yes,"VINYL ACETATE"
"BEVERLY RD",N/A,Yes,"VINYL CHLORIDE"
"BLDG 350 COASTAL ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"BLDG 350 COASTAL ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIRPORT",N/A,Yes,BENZENE
"CENTER ST.",N/A,Yes,DICHLOROMETHANE
"CLIFFWOOD AVE.",N/A,Yes,CHROMIUM
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,Yes,"VINYL ACETATE"
"DEMAREST RD.",N/A,Yes,DICHLOROMETHANE
"DUFFIELD & VAN KEUREN AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"DULTY'S LN AT RT 130",N/A,Yes,ARSENIC
"DULTY'S LN AT RT 130",N/A,Yes,CHROMIUM
"END OF S. WOOD AVE.",N/A,Yes,"DIMETHYL SULFATE"
"FAIR LAWN AVE. & 3RD ST.",N/A,Yes,FORMALDEHYDE
"FOOT OF 13TH ST.",N/A,Yes,"ETHYLENE OXIDE"
"FOOT OF BROAD ST",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"FOOT OF BROAD ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"FOOT OF E 5TH ST",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"FOOT OF JERSEY AVE",N/A,Yes,LEAD
"FOOT OF S  WOOD AVE",N/A,Yes,BENZENE
"FOOT OF S  WOOD AVE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"FOOT OF S  WOOD AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
"FOOT OF S. WOOD AVE.",N/A,Yes,"DIETHYL SULFATE"
"FOOT OF S. WOOD AVE.",N/A,Yes,"ETHYLENE OXIDE"
"FOOT OF WYCKOFF ROAD/, INDUSTRIAL RD.",N/A,Yes,STYRENE
"HANOVER AVE & HORSEHILL RD",N/A,Yes,"DI(2-ETHYLHEXYL) PHTHALATE"
"HEUBACH AVE",N/A,Yes,CHROMIUM
"HEUBACH AVE",N/A,Yes,LEAD
"HEUBACH AVE",N/A,Yes,NICKEL
"HEUBACH AVE",N/A,Yes,TETRACHLOROETHYLENE
"LINDEN AVE.",N/A,Yes,"DIETHYL SULFATE"
"LINDEN AVE.",N/A,Yes,STYRENE
"MARITIME & TYLER ST.",N/A,Yes,CREOSOTE
"MT PISGAH AVE",N/A,Yes,"BENZO(G,H,I)PERYLENE"
"MT PISGAH AVE",N/A,Yes,"POLYCYCLIC AROMATIC COMPOUNDS"
